car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,car_color
2.0,[678.2286768743702 1489.1881415688201 1387.0535802735408 2132.3496262932463],[891.5477294921875 1901.8798828125 1154.1025390625 2027.50048828125],0.62,NA13NRU,0.51,blue
4.0,[2252.893951120359 1462.0568712231466 2938.7321637357645 2154.417754365712],[2502.14794921875 1947.310302734375 2712.65380859375 2064.217041015625],0.70,NA51VSV,0.20,blue
1.0,[2127.9001449742236 1592.9817341635971 2828.3549428854612 2166.12537785341],[2369.35791015625 1979.0634765625 2657.38623046875 2108.77734375],0.63,AP05JEO,0.71,blue
27.0,[2420.835034976782 1544.8701973376888 3134.9240105721933 2155.5322852505797],[2679.33447265625 1872.82275390625 2879.44287109375 2040.74951171875],0.65,EY61NBC,0.51,blue
41.0,[755.0479189448308 1573.8569976757597 1491.6202375983041 2170.1733445210334],[1003.3377685546875 2020.074462890625 1233.8526611328125 2149.208251953125],0.69,AK64DHV,0.81,blue
57.0,[2336.8546510243414 1625.2480007598317 3032.943141113238 2164.916820866326],[2586.9970703125 2023.068359375 2812.298828125 2138.06591796875],0.64,EF10DZT,0.45,cyan
44.0,[2288.146883343219 1569.9654479557648 2984.498387630023 2146.308616454918],[2503.839599609375 1945.0447998046875 2750.159423828125 2066.4150390625],0.66,AF65JKV,0.38,blue
63.0,[823.5762507948737 1533.5593276618442 1504.0137658355122 2115.826156958727],[1061.92919921875 1960.0906982421875 1254.255859375 2079.5791015625],0.60,KH06KSU,0.49,cyan
69.0,[659.915195200983 1602.3321310648262 1379.3243048515683 2161.8741951082197],[910.5184936523438 2009.0576171875 1137.94287109375 2127.080078125],0.65,LM15ZZC,0.34,blue
71.0,[2080.852640098556 1113.9366911455365 2739.6964289394095 1844.095590230185],[2314.22314453125 1640.9959716796875 2501.328125 1745.8367919921875],0.69,EY03VMS,0.40,blue
97.0,[2140.5715636367663 1330.8407115810855 2925.934397874507 2154.2196819760798],[2412.2724609375 2025.423583984375 2638.8232421875 2142.923095703125],0.74,EY09VMS,0.39,blue
84.0,[2169.5780008639226 1338.4702651946945 2961.565261693739 2116.7958649745015],[2451.65869140625 1889.095947265625 2685.93505859375 2001.143310546875],0.68,BP63LYH,0.53,cyan
117.0,[2155.812530159592 1560.4507566348618 2862.815435815178 2122.1418891081594],[2399.88671875 1936.9505615234375 2626.26611328125 2063.60791015625],0.68,HG65ZFX,0.62,blue
122.0,[655.1272029461007 1653.1413912720402 1422.730884818437 2166.9393988187],[905.8278198242188 2026.1572265625 1180.422119140625 2160.0],0.63,LL61PZS,0.39,blue
121.0,[827.8237167979037 1248.1381094275978 1585.8012617759236 1990.0562429713257],[1088.856689453125 1763.49365234375 1277.212646484375 1856.1484375],0.63,NL54OGX,0.15,cyan